review,rating,final_text,sentiment
aplikasi lemot,1,aplikasi lambat,negatif
lebih cepqt dan mudah,5,lebih cepqt mudah,positif
cepat dan akurat,5,cepat akurat,positif
sip sering ada peomo,5,sip sering peomo,positif
"awalnya emng bagus sih, tp kalo udah lama-lama tuh jrg bgt ada yg mau nerima, jd sy sekarang lebih sering pake aplikasi sebelah..",3,awal emng bagus kalau lama lama tuh jrg banget mau nerima jadi sekarang lebih sering pake aplikasi belah,netral
"mau bayar gotagihan kq bisa Mala suruh perbarui os hp ,,merasa sangat dirugikan",1,mau bayar gotagihan kq mala suruh baru os handphone rasa sangat rugi,negatif
min kenapa setiap pesen Makanan pakai gojek plus selalu susah dapat driver yang mau Nerima pesenan dan kalau udah di terima sama driver pasti selalu di batalin lagi,2,admin sen makan pakai gojek plus selalu susah driver mau nerima sen kalau terima sama driver selalu batalin,negatif
"gilak, ga ad yg mo ambil, disuruh sllu byar yg pling mahal. hebat",1,gilak tidak ad mo ambil suruh selalu byar pling mahal hebat,negatif
"sekarang kalau mesen gofood itu susah banget dapet ojolnya, beda sama di oren lebih cepet. seharusnya lebih berbenah lagi sistemnya",1,sekarang kalau mesen gofood susah banget ojolnya beda sama oren lebih cepat lebih benah sistem,negatif
mantapp,5,mantap,positif
RESPON CSNYA LAMA,1,respon csnya lama,negatif
bagus rapih dan keran,5,bagus rapih keran,positif
gooodddddd,5,goodd,positif
bagus bermangfaat,5,bagus bermangfaat,positif
"makin lama makin ngeselin gak ada promo, makin mahal.",1,makin lama makin ngeselin tidak promo makin mahal,negatif
Saya tidak akan membayar tagihan sunco 1 literan 7 dus karna sudah jelas penjual salah kirim 2 literan 7 dus terimakasih,1,tidak bayar tagih sunco liter dus jelas jual salah kirim liter dus terimakasih,negatif
stop gajelas,1,stop gajelas,negatif
aplikasi anak bangsa yg keren,5,aplikasi anak bangsa keren,positif
"Dapet ongkir Rp. 1 tapi tidak ada yang mengambil, sudah 3x saya pesan loh. Untuk apa dibuat discountnya jika tidak ada driver yang ingin mengambil?",2,ongkir rp tidak ambil pesan loh apa buat discountnya tidak driver ambil,negatif
tingkatan terus..gratis ongkirnya dan diskon makanannya jangan kalah sama shopee,4,tingkat terus gratis ongkirnya diskon makan jangan kalah sama shopee,positif
"overall oke banget dan suka banyak promo, tapi tambahin fitur bayar pakai dana plss😔, atau qris gitu pas mau bayar makanan..",5,overall oke banget suka banyak promo tambahin fitur bayar pakai dana plss qris gitu pas mau bayar makan,positif
Pengemudi lama,5,kemudi lama,positif
bagus tapi iklan nya maksa bangetw woy,2,bagus iklan maksa bangetw woy,negatif
"tolong dong cari gocar, goride susah bgtt udah ditunggu akhir""nya dicancel sumpahh kesel bgt, apalagi waktu buru"", tolongg lahh susah kale cari driver",1,cari gocar goride susah bgtt tunggu akhir dicancel sumpahh kesel banget waktu buru tolongg lahh susah kale cari driver,negatif
terima kasih,5,terima kasih,positif
untuk pemakai gojek jngan asal Nemu alamat dan titik pengantaran .mohon di cek .karna kebodohan kalian kami jadi rugi bensin waktu dan tenaga .argo kita cuma di bayar 2000 per kilometer..kalian bayar full kami cuma nerimna 65%-70% doang,1,pakai gojek jngan asal nemu alamat titik antar mohon cek bodoh kalian jadi rugi bensin waktu tenaga argo cuma bayar per kilometer kalian bayar full cuma nerimna doang,negatif
good,5,good,positif
"driver suka banget lelet kalo jemput, kita harus nunggu 5 menit an baru mereka berangkat, dikira 5 menit itu sebentar kah? buat driver pemalas mending ga usah narik, di rumah aja bantuin istri",1,driver suka banget lambat kalau jemput nunggu menit an baru berangkat kira menit sebentar buat driver malas mending tidak usah narik rumah bantuin istri,negatif
ntaps,5,ntaps,positif
apk bagus,4,aplikasi bagus,positif
"sangat senang, driver sangat ramah",5,sangat senang driver sangat ramah,positif
Aplikasi nya sangt me,5,aplikasi sangt me,positif
top,5,bagus,positif
bnyak promo,5,bnyak promo,positif
"estimasi waktu tidak tepat, gofood datang lewat 20 menit dari estimasi",2,estimasi waktu tidak tepat gofood datang lewat menit estimasi,negatif
oke,5,oke,positif
"jujur saya kecewa sama drivernya, karena drivernya itu maksa untuk cancel di aplikasi, saya tidak mau karena akan merugikan akun pelanggan kan jika kita cancel cancel, saya meminta drivernya saja yang cancel katanya tidak bisa, sehingga dia memaksa saya untuk cancel di aplikasi, saya cancel di aplikasi dengan pilihan driver meminta cancel, dia ngecek handphonenya dan memarahi saya karena memilih driver meminta cancel, marah bilangnya aplikasi gojek banyak motong harga sehingga drivernya cuman",3,jujur kecewa sama driver driver maksa cancel aplikasi tidak mau rugi akun langgan kan cancel cancel minta driver cancel kata tidak paksa cancel aplikasi cancel aplikasi pilih driver minta cancel ngecek handphonenya parah pilih driver minta cancel marah bilang aplikasi gojek banyak motong harga driver cuman,netral
"pesen makan 2 jam gadapet driver, dibatalin pesen lagi ga dapet lagi. iya memang pakai ongkir murah, mungkin untuk rekan² driver ga worth. cuman ongkir standar untuk customer juga membebani. aplikator emang cukup maruk ambil persenan nya",1,sen makan jam gadapet driver dibatalin sen tidak iya memang pakai ongkir murah mungkin rekan driver tidak worth cuman ongkir standar customer beban aplikator memang cukup maruk ambil persen,negatif
"sangat membantu masyarakat luas. Terimakasih para Driver gojeg, Semoga selalu dalam lindungan ALLAH SWT. Aamiin 🤲 ♥️♥️😁👍",5,sangat bantu masyarakat luas terimakasih driver gojeg moga selalu lindung allah swt aamiin,positif
mantuuulll,5,mantuull,positif
Aplikasi layanan terbaik 😍🔥,5,aplikasi layan baik,positif
"kalau 15 menit tidak ada driver yg bersedia mengambil orderan tolong cepat batalkan, nunggu batalkan harus 30-40 menit menunggu, iyaa kalau dapat driver kalau gak dapet? 30 menit nunggu nya gak ngotak bgt, perbaiki lagi sistem nya",1,kalau menit tidak driver sedia ambil order cepat batal nunggu batal menit tunggu iyaa kalau driver kalau tidak menit nunggu tidak ngotak banget baik sistem,negatif
gofood ongkir nya nggak ngotak mahal nya jarak 1 km aja ongkir nya 19 ribu dah gilak ni aplikasi,1,gofood ongkir tidak ngotak mahal jarak kamu ongkir ribu dah gilak ni aplikasi,negatif
"lama bgt drivernya konfirmasi pesanan,",3,lama banget driver konfirmasi pesan,netral
sangat ramah,5,sangat ramah,positif
udah tarif mahal dpet driver suka lama sekalipun itu aku pake prioritas nambah ongkir dpet driver jauh2,1,tarif mahal dpet driver suka lama sekalipun pake prioritas nambah ongkir dpet driver jauh,negatif
mohon maaf gojek saya tidak ingin berlangganan gojek plus tapi kenapa tiba tiba saldo saya terpotong sendiri ya? tolong dong gmna wkwk,1,mohon maaf gojek tidak langgan gojek plus tiba tiba saldo potong sendiri bagaimana,negatif
selaluuu terdepan,5,selaluu depan,positif
hanya 7 menit saya bisa menunggu tapi dibatalkan,1,menit tunggu batal,negatif
"susah cari driver terus, masa setiap saya pesan susah cari driver,gimana ini gojek?",1,susah cari driver terus masa pesan susah cari driver bagaimana gojek,negatif
tepat waktu,5,tepat waktu,positif
"harganya kok berubah2, mana makin mahal lagi. baru aja kh keluarin trs login ulang, ga sampai 3 menit, harganya berubah drasti dari 49 ke 83 ribuan gocarnya. gojek biasa 29 sd 33 ribu skg 45 ribu sd 49 ribu. masa iya begini dalam waktu kurang dari 24 jam drastis banget!!",2,harga kok ubah mana makin mahal baru kh keluarin terus login ulang tidak menit harga ubah drasti ribu gocarnya gojek biasa sd ribu skg ribu sd ribu masa iya begini waktu kurang jam drastis banget,negatif
mantap,5,mantap,positif
mantap harganya,5,mantap harga,positif
SANGAT MAHAL,1,sangat mahal,negatif
lagi laper beli makanan.nunggu 1 jam gak dapet driver.keburu mati,1,laper beli makan nunggu jam tidak driver keburu mati,negatif
"terlalu bnyak perbedaan, layanan ekspres sama non ekspres",1,terlalu bnyak beda layan ekspres sama non ekspres,negatif
acc dong playlater gopay saya,5,acc playlater gopay,positif
parah nih.... nggk ada pengamanannya.... driver bisa sesuka hati ngambil uang dengan alih2 parkir yg nggk sesuai nilainya... mau tak nilai sopirnya Ndak bisa... harusnya ada persetujuan dulu sih... biar driver nggk sesuka hati... dia sendiri yg milih masuk... kita yg dibebani parkir... pdhl saya pesennya udah DRI luar agar nggk kena parkir...!!!! malah masih dikenai parkir tnpa pemberitahuan... seharusnya ada pengaman sih... biar nggk asal comot aja nih si driver...,1,parah nih nggk aman driver suka hati ngambil uang alih parkir nggk sesuai nilai mau tidak nilai sopir ndak harus tuju dulu driver nggk suka hati sendiri milih masuk beban parkir padahal sen luar nggk kena parkir malah kena parkir tnpa pemberitahuan kam nggk asal comot nih si driver,negatif
baik,5,baik,positif
"Mau ganti nada notifikasi, tp ngak jdi..",5,mau ganti nada notifikasi tidak jdi,positif
Oke sih,4,oke,positif
sangat menyenangkan,5,sangat senang,positif
payah cari driver nya,2,payah cari driver,negatif
solusi cepat,5,solusi cepat,positif
aplikasi jossss,5,aplikasi joss,positif
pemesanan dan pembayaran gocar cepat tapi dipilihkan driver yg jauh dan lama. pdhl bukan diwaktu2 sibuk.,2,mesan bayar gocar cepat pilih driver jauh lama padahal bukan waktu sibuk,negatif
"sangat membantu, semoga lebih banyak lagi promo lainnya.",5,sangat bantu moga lebih banyak promo lain,positif
"Niat punya driver becus g sih? dapat driver maknan sulit ok tp pas sekalinya dapat ditolak 3"" nya dan tau emang pilih murah tapi costumer juga itu lapar, paham g? udah driver ojek online malah ini makanan ditolak aneh, g niat mh g ush ada.",1,niat punya driver becus tidak driver maknan sulit pas sekali tolak tau memang pilih murah costumer lapar paham tidak driver ojek online malah makan tolak aneh tidak niat mh tidak ush,negatif
"Makin hari makin mahal, pada langganan premium",3,makin hari makin mahal langgan premium,netral
"kronologi : pesen gojek jam 5.56 yg harga 9rb ditungguin gak dapat², giliran dapat malah ditolak Ama drivernya.nyari lagi dong eh aplikasinya nyuruh yg harga 14.500 oke deh, klik gak dapat² juga udah jam 06.11,eh aplikasinya nyuruh yg harga 15.500 klik lagi dong katanya super cepat dapat driver nya eh gak dapat juga tuh nyuruh klik voucher tambahan 2000 biar cepet dapat driver ya Dewi gak mau kan, akhirnya Dewi dapat tuh dijam 06.16 hrga 15.500 eh tulisannya tiba dalam 6menit waktu berubah 7me",1,kronologi sen gojek jam harga rb ditungguin tidak gilir malah tolak ama driver nyari eh aplikasi nyuruh harga oke klik tidak jam eh aplikasi nyuruh harga klik kata super cepat driver eh tidak tuh nyuruh klik voucher tambah cepat driver dewi tidak mau kan akhir dewi tuh jam hrga eh tulis tiba menit waktu ubah me,negatif
"lagi buru buru, aplikasinya eror. Berkalo kali suruh coba lagi karena ada gangguan. hssss",1,buru buru aplikasi error kalo kali suruh coba ganggu hss,negatif
panjemputan pas .mantap trimakasih,5,panjemputan pas mantap trimakasih,positif
cari driver susah,1,cari driver susah,negatif
"Sekarang2 kebanyakan gangguannya nungguin drivernya lama terus gopaynya keptong pdahal cancel udah gtuh drivernya pada kagak btuh duit sombong2 kalo jauh trus pake promo dia engga bakalan nyaut padahal tinggal bilang engga bisa ini kita di diemin malesin banget . mendingan pake aplikasi sebelah , mau promo mau engga mau jauh mau deket tetep di bales dan kasih kepastian . pkknya nyesel banget isi gopay engga k pake drivernya iyuh",1,sekarang banyak ganggu nungguin driver lama terus gopaynya keptong pdahal cancel gtuh driver kagak btuh duit sombong kalau jauh terus pake promo engga bakal nyaut padahal tinggal bilang engga diemin malesin banget mending pake aplikasi belah mau promo mau engga mau jauh mau deket tetep bales kasih pasti pkknya nyesel banget isi gopay engga pake driver iyuh,negatif
"kurang banyak driver, tiap pesen gapernah dapet, banyakin drivernya atuh",3,kurang banyak driver tiap sen gapernah banyakin driver atuh,netral
keluhan saya untuk versi terbaru ini tetap yaitu fitur telepon yang belum bisa diakses oleh pembaca layar tunanetra mohon ada perbaikan karena itu sangat penting agar komunikasi dengan driver bisa lebih optimal,3,keluh versi baru tetap fitur telepon belum akses baca layar tunanetra mohon baik sangat penting komunikasi driver lebih optimal,netral
"Apl Gojek telah sangat membantu berkehidupan saya sepanjang ini, keren, untuk transformasi sangat murah, untuk gofood sangat fleksibel, slalu ready siap antar secepat kilat apalagi dengan program paylaternya, semakin kita aktif semakin terus naik fasilitas limitnya dan itu sangat membantu dan meringankan, mashaallah,saya sudah akrab dg apl Gojek sudah dari berkali kali hp hilang dan ganti ganti hp baru, Trimakasih apl Gojek.",5,apl gojek sangat bantu hidup panjang keren transformasi sangat murah gofood sangat fleksibel slalu ready siap antar cepat kilat program paylaternya makin aktif makin terus naik fasilitas limit sangat bantu ringan mashaallah akrab apl gojek kali kali handphone hilang ganti ganti handphone baru trimakasih apl gojek,positif
menunggu makanan dimasak selama lebih dari 40 menit. lalu mencari driver dan ternyata tidak dapat driver. sudah nunggu kurleb 1jam dibatalkan. parahhh,1,tunggu makan masak lama lebih menit lalu cari driver nyata tidak driver nunggu kurleb jam batal parah,negatif
bagus sangat baik,5,bagus sangat baik,positif
driver nya ramah dan baik serta cepat,5,driver ramah baik cepat,positif
min mohon respon nya saya sudah 3 hari kirim Gmail untuk ganti nomer di Karenakan kartu nya hilang jadi tidak bisa menerima kode otp nya dan Gmail saya juga lupa password jadi tidak bisa menerima kode otp nya juga mohon bantuan nya agar bisa login kembali dan saya sudah foto KTP dan foto wajah sambil megang KTP tolong bales min,1,admin mohon respon hari kirim gmail ganti nomer karena kartu hilang jadi tidak terima kode otp gmail lupa password jadi tidak terima kode otp mohon bantu login foto ktp foto wajah megang ktp bales admin,negatif
mantabbbb.,5,mantabb,positif
"Ini kenapa jadi gini ya, udah dapat driver tiba"" di cancel mana udah posisi laper bngt tolong ya, jngn lagi deh make sistem jam sekian baru dapat driver malah nyusahin tolong di perbaiki",1,jadi gin driver tiba cancel mana posisi laper banget jngn make sistem jam sekian baru driver malah nyusahin baik,negatif
"pesen makanan udah nunggu 1,5 jam bahkan hampir 2 jam eh ga taunya ga di anter dan lambat konfirmasi padahal belinya ga sama sekali pake promo, kebangetan bgt si. mana sering dapet driver yg udah lansia di atas 57 tahun jadi susa komunikasi nya sering nyasar.",1,sen makan nunggu jam bahkan hampir jam eh tidak tau tidak anter lambat konfirmasi padahal beli tidak sama sekali pake promo banget banget si mana sering driver lansia atas tahun jadi susa komunikasi sering nyasar,negatif
"waktu tunggu yang tidak lama dan pengemudi rapih,bersih dan ramah, motor terawat",5,waktu tunggu tidak lama kemudi rapih bersih ramah motor awat,positif
percuma ngadain promo kalau ujung ujungnya di cancel,1,percuma ngadain promo kalau ujung ujung cancel,negatif
nice,5,nice,positif
good service,5,good service,positif
gopay pinjam saya kenapa di blokir lagi aneh banget,1,gopay pinjam blokir aneh banget,negatif
mulai hari ini saya hapus aplikasi gojek dan gopay. saya ga punya tunggakan paylater di bekukan.,1,mulai hari hapus aplikasi gojek gopay tidak punya tunggak paylater beku,negatif
pelayanan sangat bagus dan tepat waktu,5,layan sangat bagus tepat waktu,positif
"Sungguh aneh,saya pakai pengiriman yg hemat. drivernya ga mau ngambil,resto nya ga mau bikin klo belum ada driver. sebagai pelanggan tau2 dibatalin dari aplikasi. Nelpon ke resto katanya klo pake yg hemat ga pernah dibikinin dulu karna driver suka pada ga mau. kalau gtu ga usah ada fitur hemat ya. Nunggu udah 90menit. CS nya ga bisa dihubungin. Kudu gimana coba.",3,sungguh aneh pakai kirim hemat driver tidak mau ngambil resto tidak mau bikin kalau belum driver langgan tau dibatalin aplikasi nelpon resto kata kalau pake hemat tidak pernah dibikinin dulu driver suka tidak mau kalau gtu tidak usah fitur hemat nunggu menit customer service tidak dihubungin kudu bagaimana coba,netral
sudah 3 kali pesan tidak bergerak terus akhirnya tercancel sendiri. keterangan gocar cepat tapi slowrespon udah nambah perioritas ternyata sama. saya nunggu mencari sampai 1 jam,1,kali pesan tidak gerak terus akhir tercancel sendiri terang gocar cepat slowrespon nambah perioritas nyata sama nunggu cari jam,negatif
dapet bintang satu aja ga berhak,1,bintang satu tidak hak,negatif
enak digunakan,5,enak guna,positif
saya akan coba,3,coba,netral
Membantu disaat darurat,4,bantu saat darurat,positif
"aplikasi nya bagus.. tp yg lucu,,, knpa d bkin aplikasi gofood dg ongkir murah.. tp pas milih itu ujung2 nya ngga dpt driver dan hrus d batalkan... dg alasan ya ituu.. milih ongkir murah... kwkkwkwkw klw mmng ngga akan d ambil driver, mnding ngga ush d bkin ongkir murah kakaaaa... 🙏🙏 saran ajaaa sih ya.. mending hapus ajaa",5,aplikasi bagus lucu knpa bkin aplikasi gofood ongkir murah pas milih ujung tidak driver hrus batal alas ituu milih ongkir murah kwkkwkwkw klw mmng tidak ambil driver mnding tidak ush bkin ongkir murah kakaa saran ajaa mending hapus ajaa,positif
mantap pokoknua,5,mantap pokoknua,positif
"Apalikasi sampah, berkali kali pake go ride comfort tetap susah dapet driver. tutup aja!",1,apalikasi sampah kali kali pake go ride comfort tetap susah driver tutup,negatif
"Mohon agar Gojek menambahkan fitur pembayaran via QRIS, supaya pilihan metode pembayaran lebih beragam, terimakasih, 🙏🏼🙏🏼🙏🏼🙏🏼🤧🤧",5,mohon gojek tambah fitur bayar via qris pilih metode bayar lebih agam terimakasih,positif
GO go go go gojex,5,go go go go gojex,positif
harus banget order gofood sampai 1 jam?,1,banget order gofood jam,negatif
"ok keren karna sebelum nya dapat balasan, dan terimakasih sudah membereskan masalah layanan pada aplikasi",5,keren balas terimakasih beres masalah layan aplikasi,positif
susah nyari driver,1,susah nyari driver,negatif
lumayan membantu untuk memesan makanan dan mengantar kan saya saat kga ada kendaraan,5,lumayan bantu mes makan antar kan kga kendara,positif
"aplikasi sampah, sekarang kalau mau batalin harus bayar 3 RB untuk driver, saya nunggu 40 menit driver gak jelas kemana jalanyaa, lapor ke agen malah AI, memang makin lama makin ga becus aplikasinya",1,aplikasi sampah sekarang kalau mau batalin bayar rb driver nunggu menit driver tidak jelas jalanyaa lapor agen malah ai memang makin lama makin tidak becus aplikasi,negatif
"jelek, kelamaan dpt driver",1,jelek lama driver,negatif
bagus,4,bagus,positif
Berguna banget buat saya pergi ke berbagai tempat selama training di Yogya.,4,guna banget buat pergi bagai tempat lama training yogya,positif
"parah driver nya barang saya hilang dan tidak bertanggung jawab sudah info cs,ngga ada jawaban apa apa",1,parah driver barang hilang tidak tanggung jawab info customer service tidak jawab apa apa,negatif
"Bertahun-tahun pakai gojek baru kali ini ngerasain kecewa, setiap hari order gojek pulang pergi kantor dari tarif yang setiap hari naik, dikasih driver yang jaraknya cukup jauh + driver yang enggak tahu jalan sama sekali. Pesanan + kedatangan driver memakan waktu 20 menit lebih.",1,tahun tahun pakai gojek baru kali ngerasain kecewa hari order gojek pulang pergi kantor tarif hari naik kasih driver jarak cukup jauh driver enggak tahu jalan sama sekali pesan datang driver makan waktu menit lebih,negatif
"kenapa qris saya tidak bisa diperbarui dan tidak muncul qris nya, apakah itu bug dari apk atau apa?",3,qris tidak baru tidak muncul qris bug aplikasi apa,netral
sudah nunggu 1 jam buat pesen makan. tapi tiba2 di cancel dan disuruh order lagi. parah banget. tolong di perbaiki kalau driver sibuk Carikan yang lain. sia2 waktu jam makan siang nya.,1,nunggu jam buat sen makan tiba cancel suruh order parah banget baik kalau driver sibuk cari sia waktu jam makan siang,negatif
okeh,5,okeh,positif
"Pelanggan setia gofood tapi suka jengkel masalah aplikasinya ga jelas. Tolong dong mapnya udah sesuai titik tapi diarahin ke seberang komplek, mana banyak driver yg ga mau buat anterin ke titik sesuai mereka maunya sesuai arahan map padahal beda titik. Benerin dulu itu sistem mapnya jangan sampai salah.",1,langgan setia gofood suka jengkel masalah aplikasi tidak jelas map sesuai titik diarahin seberang komplek mana banyak driver tidak mau buat anterin titik sesuai mau sesuai arah map padahal beda titik benerin dulu sistem map jangan salah,negatif
karna pelayanan yang cepat,5,layan cepat,positif
