review,rating,date,thumbsUpCount,reviewCreatedVersion
"banyak castamer ... yang kaga menghargai dliver , dan tolong di pertimbangkan untuk PT gojek indonesia , castamer banyak yang seenaknya sendiri pakek komen"" yang kaga jelas ...kayak bocah",1,2026-08-29 11:31:19,0,5.74.1
"Tolong Driver nya dikondisikan ya pihak GOJEK. terutama GOCAR sudah dapat driver tapi bisa 1 jam lebih tidak jemput, posisi driver tidak gerak dan tidak dicancel oleh driver nya. MERESAHKAN!",1,2026-08-29 11:22:45,0,5.74.1
👎👎,4,2026-08-29 11:10:35,0,5.74.1
sangat membantu bagi saya yg gak bisa naik motor,5,2026-08-29 10:21:44,0,5.74.1
susah masuk aneh aneh,1,2026-08-29 10:20:01,0,
"khusus buat pelanggan kojek khususnya manusia yg suka mesen food...kalian itu kalo mesen makanan jangan suka nyuruh2 driver naro makanan diteras rumah kalian, yg mana pelanggan nyuruh driver buka pager rumah kalian cuma buat naro makanan (ini udah bukan zaman COVID) kalian kan masih punya kaki, keluar buat nerima makanan emang kenapa sih...",1,2026-08-29 10:12:01,3,
senang ketemu driver anak muda yg semangat cari nafkah. gak mager.,5,2026-08-29 09:56:29,0,5.74.1
aplikasi lemot,1,2026-08-29 08:48:12,0,5.74.1
lebih cepqt dan mudah,5,2026-08-29 08:08:14,0,5.73.2
cepat dan akurat,5,2026-08-29 07:50:55,0,
sip sering ada peomo,5,2026-08-29 07:08:23,0,
"awalnya emng bagus sih, tp kalo udah lama-lama tuh jrg bgt ada yg mau nerima, jd sy sekarang lebih sering pake aplikasi sebelah..",3,2026-08-29 06:41:55,0,5.74.1
"mau bayar gotagihan kq bisa Mala suruh perbarui os hp ,,merasa sangat dirugikan",1,2026-08-29 04:01:59,0,5.74.1
min kenapa setiap pesen Makanan pakai gojek plus selalu susah dapat driver yang mau Nerima pesenan dan kalau udah di terima sama driver pasti selalu di batalin lagi,2,2026-08-29 01:06:12,1,5.74.1
"gilak, ga ad yg mo ambil, disuruh sllu byar yg pling mahal. hebat",1,2026-08-29 01:02:39,0,
"sekarang kalau mesen gofood itu susah banget dapet ojolnya, beda sama di oren lebih cepet. seharusnya lebih berbenah lagi sistemnya",1,2026-08-29 00:58:43,1,5.74.1
mantapp,5,2026-08-29 00:31:54,0,5.74.1
RESPON CSNYA LAMA,1,2026-08-28 23:35:38,0,
bagus rapih dan keran,5,2026-08-28 23:29:40,0,5.74.1
gooodddddd,5,2026-08-28 23:19:34,0,5.74.1
bagus bermangfaat,5,2026-08-28 23:05:12,0,
"makin lama makin ngeselin gak ada promo, makin mahal.",1,2026-08-28 22:01:30,0,5.73.2
Saya tidak akan membayar tagihan sunco 1 literan 7 dus karna sudah jelas penjual salah kirim 2 literan 7 dus terimakasih,1,2026-08-28 21:58:13,0,
stop gajelas,1,2026-08-28 21:56:13,0,5.73.2
aplikasi anak bangsa yg keren,5,2026-08-28 21:42:26,0,5.74.1
"Dapet ongkir Rp. 1 tapi tidak ada yang mengambil, sudah 3x saya pesan loh. Untuk apa dibuat discountnya jika tidak ada driver yang ingin mengambil?",2,2026-08-28 21:36:11,0,5.74.1
tingkatan terus..gratis ongkirnya dan diskon makanannya jangan kalah sama shopee,4,2026-08-28 20:39:29,7,5.73.2
"overall oke banget dan suka banyak promo, tapi tambahin fitur bayar pakai dana plss😔, atau qris gitu pas mau bayar makanan..",5,2026-08-28 20:32:06,0,
Pengemudi lama,5,2026-08-28 20:30:05,0,5.73.2
bagus tapi iklan nya maksa bangetw woy,2,2026-08-28 20:07:52,0,5.73.2
"tolong dong cari gocar, goride susah bgtt udah ditunggu akhir""nya dicancel sumpahh kesel bgt, apalagi waktu buru"", tolongg lahh susah kale cari driver",1,2026-08-28 20:03:09,0,
terima kasih,5,2026-08-28 19:44:45,0,5.72.1
untuk pemakai gojek jngan asal Nemu alamat dan titik pengantaran .mohon di cek .karna kebodohan kalian kami jadi rugi bensin waktu dan tenaga .argo kita cuma di bayar 2000 per kilometer..kalian bayar full kami cuma nerimna 65%-70% doang,1,2026-08-28 19:37:36,0,
good,5,2026-08-28 19:31:02,0,5.73.2
"driver suka banget lelet kalo jemput, kita harus nunggu 5 menit an baru mereka berangkat, dikira 5 menit itu sebentar kah? buat driver pemalas mending ga usah narik, di rumah aja bantuin istri",1,2026-08-28 19:16:31,0,5.73.2
ntaps,5,2026-08-28 18:51:06,0,5.73.2
apk bagus,4,2026-08-28 18:33:36,0,
"sangat senang, driver sangat ramah",5,2026-08-28 18:17:09,0,
Aplikasi nya sangt me,5,2026-08-28 18:07:25,0,5.74.1
top,5,2026-08-28 17:42:23,0,
bnyak promo,5,2026-08-28 17:38:31,0,5.69.1
"estimasi waktu tidak tepat, gofood datang lewat 20 menit dari estimasi",2,2026-08-28 17:27:38,0,
oke,5,2026-08-28 17:14:02,0,
"jujur saya kecewa sama drivernya, karena drivernya itu maksa untuk cancel di aplikasi, saya tidak mau karena akan merugikan akun pelanggan kan jika kita cancel cancel, saya meminta drivernya saja yang cancel katanya tidak bisa, sehingga dia memaksa saya untuk cancel di aplikasi, saya cancel di aplikasi dengan pilihan driver meminta cancel, dia ngecek handphonenya dan memarahi saya karena memilih driver meminta cancel, marah bilangnya aplikasi gojek banyak motong harga sehingga drivernya cuman",3,2026-08-28 16:03:11,0,
"pesen makan 2 jam gadapet driver, dibatalin pesen lagi ga dapet lagi. iya memang pakai ongkir murah, mungkin untuk rekan² driver ga worth. cuman ongkir standar untuk customer juga membebani. aplikator emang cukup maruk ambil persenan nya",1,2026-08-28 15:05:12,0,
"sangat membantu masyarakat luas. Terimakasih para Driver gojeg, Semoga selalu dalam lindungan ALLAH SWT. Aamiin 🤲 ♥️♥️😁👍",5,2026-08-28 14:53:33,0,5.74.1
mantuuulll,5,2026-08-28 14:51:22,0,5.74.1
Aplikasi layanan terbaik 😍🔥,5,2026-08-28 14:37:37,0,5.74.1
"kalau 15 menit tidak ada driver yg bersedia mengambil orderan tolong cepat batalkan, nunggu batalkan harus 30-40 menit menunggu, iyaa kalau dapat driver kalau gak dapet? 30 menit nunggu nya gak ngotak bgt, perbaiki lagi sistem nya",1,2026-08-28 14:37:12,0,5.74.1
gofood ongkir nya nggak ngotak mahal nya jarak 1 km aja ongkir nya 19 ribu dah gilak ni aplikasi,1,2026-08-28 14:35:04,0,5.71.1
"lama bgt drivernya konfirmasi pesanan,",3,2026-08-28 14:31:25,0,5.73.2
sangat ramah,5,2026-08-28 14:17:56,0,5.74.1
udah tarif mahal dpet driver suka lama sekalipun itu aku pake prioritas nambah ongkir dpet driver jauh2,1,2026-08-28 13:47:21,0,5.73.2
mohon maaf gojek saya tidak ingin berlangganan gojek plus tapi kenapa tiba tiba saldo saya terpotong sendiri ya? tolong dong gmna wkwk,1,2026-08-28 13:46:24,0,5.74.1
selaluuu terdepan,5,2026-08-28 13:30:04,0,
hanya 7 menit saya bisa menunggu tapi dibatalkan,1,2026-08-28 13:23:58,0,5.74.1
"susah cari driver terus, masa setiap saya pesan susah cari driver,gimana ini gojek?",1,2026-08-28 13:19:58,0,
tepat waktu,5,2026-08-28 13:10:48,0,5.74.1
"harganya kok berubah2, mana makin mahal lagi. baru aja kh keluarin trs login ulang, ga sampai 3 menit, harganya berubah drasti dari 49 ke 83 ribuan gocarnya. gojek biasa 29 sd 33 ribu skg 45 ribu sd 49 ribu. masa iya begini dalam waktu kurang dari 24 jam drastis banget!!",2,2026-08-28 12:43:45,0,
mantap,5,2026-08-28 12:28:28,0,
mantap harganya,5,2026-08-28 12:24:33,0,5.74.1
SANGAT MAHAL,1,2026-08-28 12:12:19,0,5.58.1
lagi laper beli makanan.nunggu 1 jam gak dapet driver.keburu mati,1,2026-08-28 11:55:55,1,5.74.1
"terlalu bnyak perbedaan, layanan ekspres sama non ekspres",1,2026-08-28 11:45:10,0,5.73.2
acc dong playlater gopay saya,5,2026-08-28 11:21:30,0,
parah nih.... nggk ada pengamanannya.... driver bisa sesuka hati ngambil uang dengan alih2 parkir yg nggk sesuai nilainya... mau tak nilai sopirnya Ndak bisa... harusnya ada persetujuan dulu sih... biar driver nggk sesuka hati... dia sendiri yg milih masuk... kita yg dibebani parkir... pdhl saya pesennya udah DRI luar agar nggk kena parkir...!!!! malah masih dikenai parkir tnpa pemberitahuan... seharusnya ada pengaman sih... biar nggk asal comot aja nih si driver...,1,2026-08-28 11:04:27,0,5.74.1
baik,5,2026-08-28 10:55:35,0,5.74.1
"Mau ganti nada notifikasi, tp ngak jdi..",5,2026-08-28 10:51:21,0,
Oke sih,4,2026-08-28 10:44:31,0,5.70.1
sangat menyenangkan,5,2026-08-28 10:40:38,0,5.74.1
payah cari driver nya,2,2026-08-28 10:29:56,0,5.73.2
solusi cepat,5,2026-08-28 10:09:07,0,5.74.1
aplikasi jossss,5,2026-08-28 10:07:00,0,
pemesanan dan pembayaran gocar cepat tapi dipilihkan driver yg jauh dan lama. pdhl bukan diwaktu2 sibuk.,2,2026-08-28 09:48:38,0,5.74.1
"sangat membantu, semoga lebih banyak lagi promo lainnya.",5,2026-08-28 08:54:14,0,
"Niat punya driver becus g sih? dapat driver maknan sulit ok tp pas sekalinya dapat ditolak 3"" nya dan tau emang pilih murah tapi costumer juga itu lapar, paham g? udah driver ojek online malah ini makanan ditolak aneh, g niat mh g ush ada.",1,2026-08-28 08:29:22,0,
"Makin hari makin mahal, pada langganan premium",3,2026-08-28 08:24:27,0,5.73.2
"kronologi : pesen gojek jam 5.56 yg harga 9rb ditungguin gak dapat², giliran dapat malah ditolak Ama drivernya.nyari lagi dong eh aplikasinya nyuruh yg harga 14.500 oke deh, klik gak dapat² juga udah jam 06.11,eh aplikasinya nyuruh yg harga 15.500 klik lagi dong katanya super cepat dapat driver nya eh gak dapat juga tuh nyuruh klik voucher tambahan 2000 biar cepet dapat driver ya Dewi gak mau kan, akhirnya Dewi dapat tuh dijam 06.16 hrga 15.500 eh tulisannya tiba dalam 6menit waktu berubah 7me",1,2026-08-28 08:20:11,0,5.55.2
"lagi buru buru, aplikasinya eror. Berkalo kali suruh coba lagi karena ada gangguan. hssss",1,2026-08-28 07:46:02,3,5.73.2
panjemputan pas .mantap trimakasih,5,2026-08-28 07:38:00,0,5.74.1
cari driver susah,1,2026-08-28 07:08:41,0,5.74.1
"Sekarang2 kebanyakan gangguannya nungguin drivernya lama terus gopaynya keptong pdahal cancel udah gtuh drivernya pada kagak btuh duit sombong2 kalo jauh trus pake promo dia engga bakalan nyaut padahal tinggal bilang engga bisa ini kita di diemin malesin banget . mendingan pake aplikasi sebelah , mau promo mau engga mau jauh mau deket tetep di bales dan kasih kepastian . pkknya nyesel banget isi gopay engga k pake drivernya iyuh",1,2026-08-28 06:55:12,0,5.74.1
"kurang banyak driver, tiap pesen gapernah dapet, banyakin drivernya atuh",3,2026-08-28 06:10:54,0,5.74.1
keluhan saya untuk versi terbaru ini tetap yaitu fitur telepon yang belum bisa diakses oleh pembaca layar tunanetra mohon ada perbaikan karena itu sangat penting agar komunikasi dengan driver bisa lebih optimal,3,2026-08-28 05:03:19,14,5.74.1
"Apl Gojek telah sangat membantu berkehidupan saya sepanjang ini, keren, untuk transformasi sangat murah, untuk gofood sangat fleksibel, slalu ready siap antar secepat kilat apalagi dengan program paylaternya, semakin kita aktif semakin terus naik fasilitas limitnya dan itu sangat membantu dan meringankan, mashaallah,saya sudah akrab dg apl Gojek sudah dari berkali kali hp hilang dan ganti ganti hp baru, Trimakasih apl Gojek.",5,2026-08-28 04:31:38,0,5.74.1
menunggu makanan dimasak selama lebih dari 40 menit. lalu mencari driver dan ternyata tidak dapat driver. sudah nunggu kurleb 1jam dibatalkan. parahhh,1,2026-08-28 03:09:14,1,5.74.1
bagus sangat baik,5,2026-08-28 02:33:27,0,5.73.2
driver nya ramah dan baik serta cepat,5,2026-08-28 02:26:58,0,5.73.2
min mohon respon nya saya sudah 3 hari kirim Gmail untuk ganti nomer di Karenakan kartu nya hilang jadi tidak bisa menerima kode otp nya dan Gmail saya juga lupa password jadi tidak bisa menerima kode otp nya juga mohon bantuan nya agar bisa login kembali dan saya sudah foto KTP dan foto wajah sambil megang KTP tolong bales min,1,2026-08-28 01:28:35,0,
mantabbbb.,5,2026-08-28 00:56:45,0,5.74.1
"Ini kenapa jadi gini ya, udah dapat driver tiba"" di cancel mana udah posisi laper bngt tolong ya, jngn lagi deh make sistem jam sekian baru dapat driver malah nyusahin tolong di perbaiki",1,2026-08-28 00:47:24,0,
"pesen makanan udah nunggu 1,5 jam bahkan hampir 2 jam eh ga taunya ga di anter dan lambat konfirmasi padahal belinya ga sama sekali pake promo, kebangetan bgt si. mana sering dapet driver yg udah lansia di atas 57 tahun jadi susa komunikasi nya sering nyasar.",1,2026-08-27 23:44:58,0,
"waktu tunggu yang tidak lama dan pengemudi rapih,bersih dan ramah, motor terawat",5,2026-08-27 23:18:41,0,5.73.2
percuma ngadain promo kalau ujung ujungnya di cancel,1,2026-08-27 23:15:04,0,5.74.1
nice,5,2026-08-27 23:04:52,0,5.73.2
good service,5,2026-08-27 22:40:14,0,5.72.1
gopay pinjam saya kenapa di blokir lagi aneh banget,1,2026-08-27 22:24:45,0,5.72.1
mulai hari ini saya hapus aplikasi gojek dan gopay. saya ga punya tunggakan paylater di bekukan.,1,2026-08-27 22:24:22,0,5.73.2
pelayanan sangat bagus dan tepat waktu,5,2026-08-27 21:41:32,0,5.74.1
"Sungguh aneh,saya pakai pengiriman yg hemat. drivernya ga mau ngambil,resto nya ga mau bikin klo belum ada driver. sebagai pelanggan tau2 dibatalin dari aplikasi. Nelpon ke resto katanya klo pake yg hemat ga pernah dibikinin dulu karna driver suka pada ga mau. kalau gtu ga usah ada fitur hemat ya. Nunggu udah 90menit. CS nya ga bisa dihubungin. Kudu gimana coba.",3,2026-08-27 21:35:09,0,5.73.2
sudah 3 kali pesan tidak bergerak terus akhirnya tercancel sendiri. keterangan gocar cepat tapi slowrespon udah nambah perioritas ternyata sama. saya nunggu mencari sampai 1 jam,1,2026-08-27 21:26:01,0,
dapet bintang satu aja ga berhak,1,2026-08-27 20:38:05,0,
enak digunakan,5,2026-08-27 20:19:53,0,5.74.1
saya akan coba,3,2026-08-27 20:15:54,0,
Membantu disaat darurat,4,2026-08-27 20:08:49,0,5.73.2
"aplikasi nya bagus.. tp yg lucu,,, knpa d bkin aplikasi gofood dg ongkir murah.. tp pas milih itu ujung2 nya ngga dpt driver dan hrus d batalkan... dg alasan ya ituu.. milih ongkir murah... kwkkwkwkw klw mmng ngga akan d ambil driver, mnding ngga ush d bkin ongkir murah kakaaaa... 🙏🙏 saran ajaaa sih ya.. mending hapus ajaa",5,2026-08-27 19:54:54,0,5.74.1
mantap pokoknua,5,2026-08-27 19:15:15,0,5.54.1
"Apalikasi sampah, berkali kali pake go ride comfort tetap susah dapet driver. tutup aja!",1,2026-08-27 18:54:22,0,5.73.2
"Mohon agar Gojek menambahkan fitur pembayaran via QRIS, supaya pilihan metode pembayaran lebih beragam, terimakasih, 🙏🏼🙏🏼🙏🏼🙏🏼🤧🤧",5,2026-08-27 18:47:53,1,5.73.2
GO go go go gojex,5,2026-08-27 18:46:07,0,5.74.1
harus banget order gofood sampai 1 jam?,1,2026-08-27 18:41:00,0,
"ok keren karna sebelum nya dapat balasan, dan terimakasih sudah membereskan masalah layanan pada aplikasi",5,2026-08-27 18:27:40,0,5.73.2
susah nyari driver,1,2026-08-27 18:14:35,0,5.73.2
lumayan membantu untuk memesan makanan dan mengantar kan saya saat kga ada kendaraan,5,2026-08-27 17:52:28,0,5.74.1
"aplikasi sampah, sekarang kalau mau batalin harus bayar 3 RB untuk driver, saya nunggu 40 menit driver gak jelas kemana jalanyaa, lapor ke agen malah AI, memang makin lama makin ga becus aplikasinya",1,2026-08-27 17:45:39,0,
"jelek, kelamaan dpt driver",1,2026-08-27 17:41:22,0,
bagus,4,2026-08-27 16:53:42,0,5.73.2
Berguna banget buat saya pergi ke berbagai tempat selama training di Yogya.,4,2026-08-27 16:44:41,0,5.69.1
"parah driver nya barang saya hilang dan tidak bertanggung jawab sudah info cs,ngga ada jawaban apa apa",1,2026-08-27 16:06:32,0,5.68.1
"Bertahun-tahun pakai gojek baru kali ini ngerasain kecewa, setiap hari order gojek pulang pergi kantor dari tarif yang setiap hari naik, dikasih driver yang jaraknya cukup jauh + driver yang enggak tahu jalan sama sekali. Pesanan + kedatangan driver memakan waktu 20 menit lebih.",1,2026-08-27 15:56:19,0,3.25.2
"kenapa qris saya tidak bisa diperbarui dan tidak muncul qris nya, apakah itu bug dari apk atau apa?",3,2026-08-27 15:20:59,0,5.74.1
sudah nunggu 1 jam buat pesen makan. tapi tiba2 di cancel dan disuruh order lagi. parah banget. tolong di perbaiki kalau driver sibuk Carikan yang lain. sia2 waktu jam makan siang nya.,1,2026-08-27 15:09:47,0,5.73.2
okeh,5,2026-08-27 13:38:06,0,5.73.2
"Pelanggan setia gofood tapi suka jengkel masalah aplikasinya ga jelas. Tolong dong mapnya udah sesuai titik tapi diarahin ke seberang komplek, mana banyak driver yg ga mau buat anterin ke titik sesuai mereka maunya sesuai arahan map padahal beda titik. Benerin dulu itu sistem mapnya jangan sampai salah.",1,2026-08-27 13:35:17,0,5.73.2
karna pelayanan yang cepat,5,2026-08-27 13:35:03,0,5.73.2
"Saya diberitahu anak saya. Anak saya nyari uang itu susah susah kumpulin sedikit sedikit udah enggak membantu malah minta transfer ATM ke akun gopay padahal kalau kirim balik ke ATM malah jadinya berkurang, enggak membantu, sekarang uangnya hilang, cari customer service atau wa cs susah di email & aplikasi & website. Saya kecewa banget dengan aplikasi ini dulu bagus anak saya kasih tahu sekarang jadi aplikasi enggak beres",1,2026-08-27 13:34:36,0,5.73.2
sangat baik,5,2026-08-27 13:11:57,0,5.73.2
Knapa ya gk bisa pakai gopay pinjam ada nya yg pakai bpkb kendraan.....semakin dipersulit skrg,2,2026-08-27 12:26:58,0,5.73.2
membantu saat diperlukan,5,2026-08-27 12:22:12,0,5.73.2
sangat bagus,5,2026-08-27 12:09:08,0,5.73.2
"saya berlangganan gojek plus sdh hampir 2 thn tpi tiba tiba di akun saya tdk ada muncul sama sekli diskon yg biasa saya nikmati padahal baru 3 hari yang lalu saya perpjng sdh chat cs ,ig tpi tdk ada penyelsaian dari gojek , betul betul gojek bikin saya kecewa",1,2026-08-27 10:58:02,0,5.73.2
aplikasi ini sangat bagus dn membantu saya buat di perjalanan,5,2026-08-27 10:56:37,0,5.73.2
lumayan,4,2026-08-27 10:45:16,0,5.73.2
"Aplikasi pemesanan Terbaik se INDONESIA, terimakasih Gojek gak buat hp eror seperti aplikasi sebelah",5,2026-08-27 10:33:54,0,4.87.2
driver bnyk yg krg bgs,1,2026-08-27 09:47:47,0,
perjlnan nyaman drivernya juga ramah,5,2026-08-27 09:24:29,0,5.73.2
apk nya lumayan membantu dari segi tranfer tapi untuk transportasi kadang lama atau dapet nya jauh bahkan beberapa kali saya pernah kena marah atau di atur sama driver nya karna harga dan satu lagi sayang riwayatnya permanen jadi menuhin ruangan penuh,2,2026-08-27 08:02:20,0,5.73.2
maaf harganya tidak fleksibel tolong turunkan,1,2026-08-27 07:54:44,0,5.73.2
gojek tolong buat goride nya gausah pake banyak macem2 gojek murah lah gojek cepat lah gojek comfort lah RIBET jd lama dapat driver nya,1,2026-08-27 07:54:08,0,5.61.1
"bilangin ke driver nya, kalo emng ga mau ambil di cancel aja, ini udh nunggu lama kaga gerak",2,2026-08-27 07:13:13,0,
"mantap, tepat waktu",5,2026-08-27 05:30:03,0,5.72.1
"aku kasih bintang 1 soalnya driver nya lamaaa,, ga dapat"" driver,, padahal aku pilih yang GoCar cepattt,, masa iyaa ga ada driver sama sekali?? niat kerja atau gak? sekalian aja hapus aja apk gojek gojeknya ini,, ga guna sama sekaliiii,, ga bermanfaat sama sekali dan tidak membantu sama sekali.",1,2026-08-27 05:23:30,0,5.73.2
"aplikasi gojek, no way forever. pelayanan costomer service nya lebih dari kata buruk, super buruk. ngong cs kok pakai robot ai. uninstal aplikasi selamanya i hate you forever. beralih ke aplikasi grab yang sdh saya gunakan dari dulu jauh lebih memuaskan sampai sekarang. yang jelas costomer service nya manusia asli bukan pakai robot ai kayak you gojek😡. aplikasi you sangat bobrok buruk👎 tidak ada solusi masalah yang jelas",1,2026-08-27 02:58:07,0,4.40.1
"Makin kesini makin susah cari driver, dari yang semula puas jadi makin malas pake aplikasi ini, so far pakai buat pesen makan kalau udah ke-maleman mau keluar, tapi makin kesini makin susah cari sriver. Jumlah driver di luar pulau Jawa (Kalimantan) banyakin jek, ini hampir tiap pesen di malam hari selalu susah cari driver food, mana nunggu pembatalannya se-jam. Mau order di aplikasi sebelah juga keburu tutup resto kalo nungguin batalan dari sini.",2,2026-08-27 01:10:40,0,5.72.1
cukup bagus mntap,5,2026-08-27 00:24:24,0,5.72.1
KECEWA BERAT,1,2026-08-27 00:06:14,0,5.73.2
"Tampilan pop up gojek menutup hampir seluruh layar, konsumen tidak bisa memantau perjalanan driver..",2,2026-08-26 23:03:07,0,5.74.1
fast rider,5,2026-08-26 23:01:25,0,
"gak lengkap gada daging duyung, malaas.",1,2026-08-26 22:33:14,0,5.74.1
orderan nya mana kasih orderan orderan malah diperanyeb gila padahal ga pernah censel ga pernah lewatin tapi kenapa orderan jadi diperanyeb begini,5,2026-08-26 22:26:39,0,5.73.2
ok 👍,5,2026-08-26 22:16:02,0,5.73.2
terpercaya,5,2026-08-26 22:10:16,0,5.74.1
"Lama banget dapet driver, nggak bisa dicancel, udah laper. Mending grab atau shopeefood aja",1,2026-08-26 22:07:21,0,5.73.2
Sangat Berguna,5,2026-08-26 21:59:59,0,5.74.1
ok 🙏👍,5,2026-08-26 21:13:16,0,5.73.2
senang sekali,5,2026-08-26 20:48:00,0,5.73.2
aplikasi ini sangat bagus untuk pemesanan layanan,5,2026-08-26 20:44:45,0,5.74.1
driver gabisa di lacak. nyusahin. padahal krusial banget kalo lagi penting,1,2026-08-26 20:24:58,0,5.69.1
"tolong dong tambahin mode cash,soalnya kasian yng cuma punya cash🙏",2,2026-08-26 20:20:51,0,
adanya Go-Jek saya merasa sangat senang karena sangat membantu,5,2026-08-26 19:37:01,0,5.52.1
sejauh ini blm ada kendala,5,2026-08-26 19:22:17,0,5.73.2
"Titik jemputnya sesuai peta dan nama tempatnya, tarif sekarang lebih murah",5,2026-08-26 18:47:19,0,5.73.2
"ga ribet kaya aplikasi sebelah, saat membayar menggunakan e-wallet di gopay sangat bagus dan bisa validasi ke tmen",5,2026-08-26 18:25:48,0,5.73.2
hebat,5,2026-08-26 18:15:59,0,5.73.2
"bagus² tapi setiap mesen ojek satu malah nambah,tolong benerin",5,2026-08-26 17:55:10,0,
